Entity,Year,Population - Sex: all - Age: all - Variant: estimates
Vietnam,1998,75299665
Vietnam,1999,76287455
Vietnam,2000,77154015
Vietnam,2001,77969356
Vietnam,2002,78772227
Vietnam,2003,79563778
Vietnam,2004,80338978
Vietnam,2005,81088309
Vietnam,2006,82167900
Vietnam,2007,83633377
Vietnam,2008,85175789
Vietnam,2009,86460023
Vietnam,2010,87455150
Vietnam,2011,88468314
Vietnam,2012,89510357
Vietnam,2013,90573104
Vietnam,2014,91679583
Vietnam,2015,92823254
Vietnam,2016,94000115
Vietnam,2017,95176979
Vietnam,2018,96237319
Vietnam,2019,97173778
Vietnam,2020,98079196
Vietnam,2021,98935101
Vietnam,2022,99680656
Vietnam,2023,100352189
